# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
9157;Privatsteuern Kapitalertragsteuer (Vollhafter);statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9158;Privatsteuern Solidaritätszuschlag (Vollhafter);statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9159;Privatsteuern Kirchensteuer (Vollhafter) Andere Kapitalkontenanpassungen: Teilhafter;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9160;Kommandit-Kapital – andere Kapitalkontenanpassungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9161;Variables Kapital – andere Kapitalkontenanpassungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9162;Verlustausgleichskonto – andere Kapitalkontenanpassungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9163;Kapitalkonto III – andere Kapitalkontenanpassungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9164;Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert – andere Kapitalkontenanpassungen TH;statistisch;;;;Nicht eingeforderte ausstehende Einlagen;F;;;
9165;Verrechnungskonto für Einzahlungsverpflichtungen – andere Kapitalkontenanpassungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9166;Anrechenbare Privatsteuern Teilhafter, Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;
9167;Privatsteuern Kapitalertragsteuer (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9168;Privatsteuern Solidaritätszuschlag (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9169;Privatsteuern Kirchensteuer (Teilhafter), Eigenkapital Umbuchungen auf andere Kapitalkonten: Vollhafter;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9170;Festkapital – Umbuchungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9171;Variables Kapital – Umbuchungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9172;Verlust-/Vortragskonto – Umbuchungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9173;Kapitalkonto III – Umbuchungen VH Art.-Nr. 11174 2026-01-01;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9174;Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert - Umbuchungen VH;statistisch;;;;Nicht eingeforderte ausstehende Einlagen;F;;;
9175;Verrechnungskonto für Einzahlungsverpflichtungen - Umbuchungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9176;Umbuchungen auf andere Kapitalkonten: Teilhafter;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;R;;;
9180;Kommandit-Kapital - Umbuchungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9181;Variables Kapital - Umbuchungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9182;Verlustausgleichskonto - Umbuchungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9183;Kapitalkonto III - Umbuchungen TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9184;Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert - Umbuchungen TH;statistisch;;;;Nicht eingeforderte ausstehende Einlagen;F;;;
9185;Verrechnungskonto für Einzahlungsverpflichtungen - Umbuchungen TH Anrechenbare Privatsteuern Teilhafter, Fremdkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9186;Privatsteuern Kapitalertragsteuer (Teilhafter), Fremdkapital;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
9187;Privatsteuern Solidaritätszuschlag (Teilhafter), Fremdkapital;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
9188;Privatsteuern Kirchensteuer (Teilhafter), Fremdkapital;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
9189;Verrechnungskonto für Umbuchungen zwischen Gesellschafter-Eigenkapitalkonten Gegenkonto zu statistischen Konten für Betriebswirtschaftliche Auswertungen;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
9190;Gegenkonto für statistische Mengeneinheiten Konten 9101-9102 8);statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
9199;Gegenkonto zu Konten 9120 und 9135 8) Statistische Konten für die Kennzahlen der Bilanz;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
9200;Beschäftigte Personen;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
9201;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;9207
9208;7);statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
9209;Gegenkonto zu 9200;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
9210;Produktive Löhne;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
9219;Gegenkonto zu 9210 Statistische Konten zur informativen Angabe des gezeichneten Kapitals in anderer Währung;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
9220;Gezeichnetes Kapital in DM (Art. 42 Abs. 3 Satz 1 EGHGB);statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;HB;;
9229;Gegenkonto zu 9220;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;HB;;
9240;Investitionsverbindlichkeiten bei den Leistungsverbindlichkeiten;statistisch;;;;;KU;;;
9241;Investitionsverbindlichkeiten aus Sachanlagekäufen bei Leistungsverbindlichkeiten;statistisch;;;;;KU;;;
9242;Investitionsverbindlichkeiten aus Käufen von immateriellen Vermögensgegenständen bei Leistungsverbindlichkeiten;statistisch;;;;;KU;;;
9243;Investitionsverbindlichkeiten aus Käufen von Finanzanlagen bei Leistungsverbindlichkeiten;statistisch;;;;;KU;;;
9244;Gegenkonto zu Konten 9240-9243;statistisch;;;;;KU;;;
9245;Forderungen aus Sachanlageverkäufen bei sonstigen Vermögensgegenständen;statistisch;;;;;KU;;;
9246;Forderungen aus Verkäufen immaterieller Vermögensgegenstände bei sonstigen Vermögensgegenständen;statistisch;;;;;KU;;;
9247;Forderungen aus Verkäufen von Finanzanlagen bei sonstigen Vermögensgegenständen;statistisch;;;;;KU;;;
9249;Gegenkonto zu Konten 9245-9247;statistisch;;;;;KU;;;
9258;Aufgliederung der Rückstellungen für die Programme der Wirtschaftsberatung;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);R;;;9259
9260;Kurzfristige Rückstellungen;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9262;Mittelfristige Rückstellungen;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9264;Langfristige Rückstellungen, außer Pensionen;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9269;Gegenkonto zu Konten 9260-9268 Statistische Konten für in der Bilanz auszuweisende Haftungsverhältnisse;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9270;Gegenkonto zu 9271-9279 (Soll-Buchung);statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9271;Verbindlichkeiten aus der Begebung und Übertragung von Wechseln;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9272;Verbindlichkeiten aus der Begebung und Übertragung von Wechseln gegenüber verbundenen/ assoziierten Unternehmen;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9273;Verbindlichkeiten aus Bürgschaften, Wechsel- und Scheckbürgschaften;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9274;Verbindlichkeiten aus Bürgschaften, Wechsel- und Scheckbürgschaften gegenüber verbundenen/assoziierten Unternehmen;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9275;Verbindlichkeiten aus Gewährleistungsverträgen;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9276;Verbindlichkeiten aus Gewährleistungsverträgen gegenüber verbundenen/assoziierten Unternehmen;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9277;Haftung aus der Bestellung von Sicherheiten für fremde Verbindlichkeiten Seite 31;statistisch;;;;Steuerliches Mehr-/Minderergebnis lfd. Jahr (steuerlicher Ausgleichsposten);KU;;;
9278;Haftung aus der Bestellung von Sicherheiten für fremde Verbindlichkeiten gegenüber verbundenen/ assoziierten Unternehmen;statistisch;;;;;KU;;;
9279;Verpflichtungen aus Treuhandvermögen Statistische Konten für die im Anhang anzugebenden sonstigen finanziellen Verpflichtungen;statistisch;;;;;KU;;;
9280;Gegenkonto zu 9281-9284;statistisch;;;;;KU;;;
9281;Verpflichtungen aus Miet- und Leasingverträgen;statistisch;;;;;KU;;;
9282;Verpflichtungen aus Miet- und Leasingverträgen gegenüber verbundenen Unternehmen;statistisch;;;;;KU;;;
9283;Andere Verpflichtungen nach § 285 Nr. 3a HGB;statistisch;;;;;KU;;;
9284;Andere Verpflichtungen nach § 285 Nr. 3a HGB gegenüber verbundenen Unternehmen Unterschiedsbetrag aus der Abzinsung von Altersversorgungsverpflichtungen nach § 253 Abs. 6 HGB;statistisch;;;;;KU;;;
9285;Unterschiedsbetrag aus der Abzinsung von Altersversorgungsverpflichtungen nach § 253 Abs. 6 HGB (Haben);statistisch;;;;;KU;HB;;
9286;Gegenkonto zu 9285 Statistische Konten für § 4 Abs. 3 EStG;statistisch;;;;;KU;HB;;
9287;Zinsen bei Buchungen über Debitoren bei § 4 Abs. 3 EStG;statistisch;;;;;KU;EÜR;;
9288;Mahngebühren bei Buchungen über Debitoren bei § 4 Abs. 3 EStG;statistisch;;;;;KU;EÜR;;
9289;Gegenkonto zu 9287 und 9288;statistisch;;;;;KU;EÜR;;
9290;Statistisches Konto steuerfreie Auslagen;statistisch;;;;;KU;;;
9291;Gegenkonto zu 9290;statistisch;;;;;KU;;;
9292;Statistisches Konto Fremdgeld;statistisch;;;;Verbindlichkeiten aus Lieferungen und Leistungen;KU;;;
9293;Gegenkonto zu 9292;statistisch;;;;Sonstige Verbindlichkeiten;KU;;;
9295;Einlagen atypisch stiller Gesellschafter;statistisch;;;;Einlagen stiller Gesellschafter;KU;;;
9297;Steuerlicher Ausgleichsposten (Körperschaften 17);statistisch;;;;Steuerlicher Ausgleichsposten;KU;SB;K;
9298;Steuerlicher Ausgleichsposten VH (Personengesellschaften, Einzelunternehmen);statistisch;;;;Steuerlicher Ausgleichsposten;F;SB;;
9299;Steuerlicher Ausgleichsposten TH (Personengesellschaften);statistisch;;;;Steuerlicher Ausgleichsposten;F;SB;;
9300;Steuerlicher Ausgleichsposten;statistisch;;;;Steuerlicher Ausgleichsposten;R;;;9320
9326;Steuerlicher Ausgleichsposten;statistisch;;;;Steuerlicher Ausgleichsposten;R;;;9343
9346;Steuerlicher Ausgleichsposten;statistisch;;;;Steuerlicher Ausgleichsposten;R;;;9349
9357;Steuerlicher Ausgleichsposten;statistisch;;;;Steuerlicher Ausgleichsposten;R;;;9360
9365;Steuerlicher Ausgleichsposten;statistisch;;;;Steuerlicher Ausgleichsposten;R;;;9367
9371;(ohne Standardbeschriftung);statistisch;;;;;R;;;9372
9390;(Zur freien Verfügung) 24);statistisch;;;;;KU;;;9394
9395;(Zur freien Verfügung) 7) Privat Teilhafter (Eigenkapital, für Verrechnung mit Kapitalkonto III - Konto 9840-9849);statistisch;;;;;F;;;9399
9400;Privatentnahmen allgemein (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9401;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9409
9410;Privatsteuern (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9411;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9419
9420;Sonderausgaben beschränkt abzugsfähig (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9421;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9429
9430;Sonderausgaben unbeschränkt abzugsfähig (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9431;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9439
9440;Zuwendungen, Spenden (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9441;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9449
9450;Außergewöhnliche Belastungen (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9451;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9459
9460;Grundstücksaufwand (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9461;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9469
9470;Grundstücksertrag (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9471;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9479
9480;Unentgeltliche Wertabgaben (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9481;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9489
9490;Privateinlagen (Teilhafter), Eigenkapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9491;Statistische Konten für die Kapitalkontenentwicklung;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9499
9500;Anteil für Konto 0900 Teilhafter - Kommandit-Kapital;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9501;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9509
9510;Anteil für Konto 0910 Teilhafter - Verlustausgleichskonto;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9511;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9519
9520;Anteil für Konto 0920 Teilhafter - Gesellschafter-Darlehen;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;HB;;
9521;Art.-Nr. 11174 2026-01-01;statistisch;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;9529
9530;Anteil für Konto 9950 Teilhafter - Ausstehende Einlagen auf das Kommandit-Kapital;statistisch;;;;Eingeforderte, noch ausstehende Kapitaleinlagen Kommanditisten;F;HB;;
9531;Eingeforderte, noch ausstehende Kapitaleinlagen Kommanditisten;statistisch;;;;Eingeforderte, noch ausstehende Kapitaleinlagen Kommanditisten;R;;;9539
9540;Anteil für Konto 9930 Vollhafter - Ausstehende Einlagen auf das Komplementär-Kapital;statistisch;;;;Eingeforderte, noch ausstehende Kapitaleinlagen persönlich haftender Gesellschafter;F;HB;;
9541;Eingeforderte, noch ausstehende Kapitaleinlagen persönlich haftender Gesellschafter;statistisch;;;;Eingeforderte, noch ausstehende Kapitaleinlagen persönlich haftender Gesellschafter;R;;;9549
9550;Anteil für Konto 9810 Vollhafter - Kapitalkonto III;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9551;Kapitalanteil der persönlich haftenden Gesellschafter;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;R;;;9559
9560;Anteil für Konto 9820 Vollhafter - Verlustvortrag;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9561;Kapitalanteil der persönlich haftenden Gesellschafter;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;R;;;9569
9570;Anteil für Konto 0870 Vollhafter - Festkapital;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9571;Kapitalanteil der persönlich haftenden Gesellschafter;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;R;;;9579
9580;Anteil für Konto 0880 Vollhafter - Variables Kapital;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9581;Kapitalanteil der persönlich haftenden Gesellschafter;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;R;;;9589
9590;Anteil für Konto 0890 Vollhafter - Gesellschafter-Darlehen;statistisch;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;F;HB;;
9591;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;statistisch;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;R;;;9599
9600;Name des Gesellschafters Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9601;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9609
9610;Tätigkeitsvergütung Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9611;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9619
9620;Tantieme Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9621;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9629
9630;Darlehensverzinsung Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9631;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9639
9640;Gebrauchsüberlassung Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9641;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9649
9650;Sonstige Vergütungen Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9651;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9659
9660;Sonstige Vergütungen Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9661;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9669
9670;Sonstige Vergütungen Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9671;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9679
9680;Sonstige Vergütungen Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9681;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9689
9690;Restanteil Vollhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9691;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9699
9700;Name des Gesellschafters Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9701;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9709
9710;Tätigkeitsvergütung Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9711;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9719
9720;Tantieme Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9721;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9729
9730;Darlehensverzinsung Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9731;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9739
9740;Gebrauchsüberlassung Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9741;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9749
9750;Sonstige Vergütungen Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9751;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9759
9760;Sonstige Vergütungen Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9761;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9769
9770;Sonstige Vergütungen Teilhafter;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9771;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;R;;;9779
9780;Anteil für Konto 9840 Teilhafter - Kapitalkonto III;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9781;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;9789
9790;Restanteil Teilhafter Verlustverrechnung mit Rücklagen bei KapCo;statistisch;;;;Gutschrift auf Kapitalkonten oder Ergebnisverwendung;F;;;
9791;Anteil Rücklagen variables Kapitalkonto Vollhafter 1);statistisch;;;;Kapitalanteil persönlich haftende Gesellschafter (KapCo);F;;;
9792;Anteil Rücklagen Kapitalkonto III Vollhafter 1);statistisch;;;;Kapitalanteil persönlich haftende Gesellschafter (KapCo);F;;;
9793;Anteil Rücklagen Verlust-/Vortragskonto Vollhafter 1);statistisch;;;;Kapitalanteil persönlich haftende Gesellschafter (KapCo);F;;;
9794;Gegenkonto Anteil Rücklagen Vollhafter 1);statistisch;;;;Kapitalanteil persönlich haftende Gesellschafter (KapCo);F;;;
9795;Anteil Rücklagen variables Kapitalkonto Teilhafter 1);statistisch;;;;Kapitalanteil Kommanditisten (KapCo);F;;;
9796;Anteil Rücklagen Kapitalkonto III Teilhafter 1);statistisch;;;;Kapitalanteil Kommanditisten (KapCo);F;;;
9797;Anteil Rücklagen Verlustausgleichskonto Teilhafter 1);statistisch;;;;Kapitalanteil Kommanditisten (KapCo);F;;;
9798;Gegenkonto Anteil Rücklagen Teilhafter 1);statistisch;;;;Kapitalanteil Kommanditisten (KapCo);F;;;
9799;Rücklagen, Gewinn-, Verlustvortrag;statistisch;;;;Kapitalanteil Kommanditisten (KapCo);R;;;9801
9802;Gesamthänderisch gebundene Rücklagen - andere Kapitalkontenanpassungen;statistisch;;;;Rücklagen;F;;;
9803;Gewinnvortrag/Verlustvortrag - andere Kapitalkontenanpassungen;statistisch;;;;Gewinn-/Verlustvortrag vor Verwendung;F;;;
9804;Gesamthänderisch gebundene Rücklagen – Umbuchungen Seite 33;statistisch;;;;Rücklagen;F;;;
9805;Gewinnvortrag/Verlustvortrag – Umbuchungen Statistische Anteile an den Posten Jahresüberschuss/-fehlbetrag bzw. Bilanzgewinn/-verlust;statistisch;;;;Gewinn-/Verlustvortrag vor Verwendung;F;;;
